,title,price,year,link,style,age
44,yamaha piano key cover,15,,https://charlottesville.craigslist.org/msg/d/troy-yamaha-piano-key-cover/7784764787.html,yamaha,
45,esp ltd m-1000 ebony,800,,https://charlottesville.craigslist.org/msg/d/culpeper-esp-ltd-1000-ebony/7785553274.html,missing,
46,gator oboe case,40,,https://charlottesville.craigslist.org/msg/d/culpeper-gator-oboe-case/7785845366.html,missing,
47,floyd rose original frt-1000 chrome,150,,https://charlottesville.craigslist.org/msg/d/culpeper-floyd-rose-original-frt-1000/7787070314.html,missing,
48,esp wedge shaped padded gig bag,50,,https://charlottesville.craigslist.org/msg/d/culpeper-esp-wedge-shaped-padded-gig-bag/7787077616.html,missing,
49,electric guitars,100,,https://charlottesville.craigslist.org/msg/d/charlottesville-electric-guitars/7788431545.html,missing,
50,usa peavey bandit transtube spring reverb amp,200,,https://charlottesville.craigslist.org/msg/d/glen-allen-usa-peavey-bandit-transtube/7782303721.html,peavey,
51,gretsch g5622t electromatic guitar w/bigsby,440,,https://charlottesville.craigslist.org/msg/d/charlottesville-gretsch-g5622t/7783201045.html,guitar,
52,spinet piano,0,,https://charlottesville.craigslist.org/msg/d/culpeper-spinet-piano/7787893969.html,piano,
53,trumpet - gerhard baier,900,,https://charlottesville.craigslist.org/msg/d/charlottesville-trumpet-gerhard-baier/7787706448.html,missing,
54,epiphone casino guitar - 2001,900,2001.0,https://charlottesville.craigslist.org/msg/d/staunton-epiphone-casino-guitar/7787664431.html,epiphone,24.0
55,epiphone 160e john lennon acoustic/electric guitar,600,,https://charlottesville.craigslist.org/msg/d/staunton-epiphone-160e-john-lennon/7787643597.html,epiphone,
56,1997 fender mexican strat,350,1997.0,https://charlottesville.craigslist.org/msg/d/quinque-1997-fender-mexican-strat/7787628799.html,fender,28.0
57,"slide guitar package (instructionals, slides, capos)",40,,https://charlottesville.craigslist.org/msg/d/charlottesville-slide-guitar-package/7779300850.html,guitar,
58,"epiphone ""inspired by"" 355 guitar",899,,https://charlottesville.craigslist.org/msg/d/staunton-epiphone-inspired-by-355-guitar/7782587985.html,epiphone,
59,epiphone inspired by gibson es-339 w' hard case,550,,https://charlottesville.craigslist.org/msg/d/waynesboro-epiphone-inspired-by-gibson/7787425775.html,epiphone,
60,seymour duncan scorcher guitar pickup,50,,https://charlottesville.craigslist.org/msg/d/charlottesville-seymour-duncan-scorcher/7787384567.html,guitar,
61,bach tr600h2 trumpet,500,,https://charlottesville.craigslist.org/msg/d/charlottesville-bach-tr600h2-trumpet/7780582376.html,missing,
62,srv style stratocaster,890,,https://charlottesville.craigslist.org/msg/d/staunton-srv-style-stratocaster/7786864956.html,stratocaster,
63,warmoth jaguar,900,,https://charlottesville.craigslist.org/msg/d/staunton-warmoth-jaguar/7779368959.html,missing,
64,reverend mat west model,700,,https://charlottesville.craigslist.org/msg/d/staunton-reverend-mat-west-model/7779529608.html,missing,
65,reverend warhawk da electric guitar in midnight black with reverend tw,850,,https://charlottesville.craigslist.org/msg/d/staunton-reverend-warhawk-da-electric/7780903992.html,guitar,
66,hofner ct verythin 2018 anitque brown burst,575,2018.0,https://charlottesville.craigslist.org/msg/d/waynesboro-hofner-ct-verythin-2018/7786561006.html,missing,7.0
67,acoustic guitar,230,,https://charlottesville.craigslist.org/msg/d/buckingham-acoustic-guitar/7786153020.html,guitar,
68,keyboard,50,,https://charlottesville.craigslist.org/msg/d/charlottesville-keyboard/7785343751.html,missing,
69,fishman loudbox mini guitar amp with bluetooth,275,,https://charlottesville.craigslist.org/msg/d/charlottesville-fishman-loudbox-mini/7785897270.html,guitar,
70,sennheiser e 825-s vocal microphone and on-stage stand,75,,https://charlottesville.craigslist.org/msg/d/charlottesville-sennheiser-825-vocal/7785894189.html,missing,
71,left-handed 5-string banjo,425,,https://charlottesville.craigslist.org/msg/d/charlottesville-left-handed-string-banjo/7781713588.html,missing,
72,looper,25,,https://charlottesville.craigslist.org/msg/d/charlottesville-looper/7782824684.html,missing,
73,price reduced! danelectro daddy-o,65,,https://charlottesville.craigslist.org/msg/d/charlottesville-price-reduced/7782824720.html,missing,
74,lot of 3 guitars,300,,https://charlottesville.craigslist.org/msg/d/orange-lot-of-guitars/7785585854.html,missing,
75,2023 prs 594 mccarty,3299,2023.0,https://charlottesville.craigslist.org/msg/d/forest-2023-prs-594-mccarty/7785287052.html,prs,2.0
76,harmony h415,850,,https://charlottesville.craigslist.org/msg/d/waynesboro-harmony-h415/7784973554.html,missing,
77,adm 5 string banjo,150,,https://charlottesville.craigslist.org/msg/d/waynesboro-adm-string-banjo/7784961984.html,missing,
78,antique piano,0,,https://charlottesville.craigslist.org/msg/d/charlottesville-antique-piano/7784720426.html,piano,
79,vintage yamaha 112 guitar amp spring reverb,150,,https://charlottesville.craigslist.org/msg/d/glen-allen-vintage-yamaha-112-guitar/7778102801.html,yamaha,
80,violin for lefty 1/2 size,20,,https://charlottesville.craigslist.org/msg/d/charlottesville-violin-for-lefty-2-size/7784686737.html,missing,
81,michael kelly mod shop 67 solid body electric guitar,700,,https://charlottesville.craigslist.org/msg/d/shipman-michael-kelly-mod-shop-67-solid/7784649859.html,guitar,
82,fender deluxe molded bass case,175,,https://charlottesville.craigslist.org/msg/d/charlottesville-fender-deluxe-molded/7784591706.html,fender,
83,vincent bach mercedes trombone,350,,https://charlottesville.craigslist.org/msg/d/waynesboro-vincent-bach-mercedes/7775501781.html,missing,
84,full size violin,300,,https://charlottesville.craigslist.org/msg/d/charlottesville-full-size-violin/7784369148.html,missing,
85,fender fm 25r amp spring reverb,160,,https://charlottesville.craigslist.org/msg/d/glen-allen-fender-fm-25r-amp-spring/7779352121.html,fender,
86,cornet/trumpet: ready for band class!,100,,https://charlottesville.craigslist.org/msg/d/charlottesville-cornet-trumpet-ready/7784301598.html,missing,
87,"epiphone ""inspired by"" red  355 guitar",1200,,https://charlottesville.craigslist.org/msg/d/staunton-epiphone-inspired-by-red-355/7784103683.html,epiphone,
88,hand pan hang drum   symphonic steel,6500,,https://charlottesville.craigslist.org/msg/d/charlottesville-hand-pan-hang-drum/7776563784.html,missing,
89,yamaha stagepas 600i pa system,400,,https://charlottesville.craigslist.org/msg/d/charlottesville-yamaha-stagepas-600i-pa/7778730251.html,yamaha,
90,"12.5"" splash cymbal with mounting hardware",20,,https://charlottesville.craigslist.org/msg/d/crozet-125-splash-cymbal-with-mounting/7774667228.html,missing,
91,snarling dogs spd6 effect pedal,40,,https://charlottesville.craigslist.org/msg/d/palmyra-snarling-dogs-spd6-effect-pedal/7783158000.html,missing,
92,t-rex yellow drive,80,,https://charlottesville.craigslist.org/msg/d/palmyra-rex-yellow-drive/7783152931.html,missing,
93,new groove tube 6v6r,20,,https://charlottesville.craigslist.org/msg/d/palmyra-new-groove-tube-6v6r/7783149543.html,missing,
94,relicked telecaster copy,150,,https://charlottesville.craigslist.org/msg/d/palmyra-relicked-telecaster-copy/7774575718.html,telecaster,
95,fender pickups,1,,https://charlottesville.craigslist.org/msg/d/palmyra-fender-pickups/7783143917.html,fender,
96,custom crowder guitar hd-28,2900,,https://charlottesville.craigslist.org/msg/d/louisa-custom-crowder-guitar-hd-28/7783055254.html,guitar,
